Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
Shai Gilgeous-Alexander OKCPG,35.3,11.2/21.8,0.515,8.9/9.9,0.899,2.0,5.4,6.3,0.9,1.2,1.9,33.3,0.4340473965950384,0.7851837271077139,1.0136046192068442,0.8683206738041981,2.793745955049257,0.30781431530162745,1.884337557698287,0.900319970883951,5.332408728251296,-0.900319970883951,12.519143002130312,1
LaMelo BallDTD ChaPG,33.3,8.2/19.0,0.43,3.7/4.5,0.815,3.3,7.8,9.8,1.7,0.2,3.7,23.3,-0.2508093030774658,0.42963471128078573,2.5917296655693,2.0928594178279987,5.131771578278833,1.9664501299847763,-0.4837967669341016,3.2609444521828905,3.1489716736266953,-3.2609444521828905,11.365866654373932,2
Walker KesslerO UtahC,31.0,5.2/7.4,0.703,2.8/4.0,0.7,1.2,10.8,3.0,1.4,1.8,3.2,14.4,1.9487892735177526,-0.057128822291793974,0.0424507445222558,3.6235328478577493,0.5893217960042295,1.3444616994785954,3.3052181524777207,2.6052154295998515,1.2057126950108,-2.6052154295998515,9.397142956977456,3
"Josh Giddey ChiSG, PG, SF",34.0,8.3/16.7,0.496,4.7/6.3,0.75,1.9,10.0,9.1,0.9,0.3,3.6,23.1,0.2809617813741256,0.1545074966528061,0.8922103848712706,3.215353266516482,4.664166453632918,0.30781431530162745,-0.2469833344708628,3.1297986476662825,3.105302932534203,-3.1297986476662825,9.243534648746285,4
"Dillon BrooksO PhxSF, SG",30.7,7.3/19.7,0.373,1.7/1.7,1.0,3.0,3.3,2.3,2.7,0.7,2.3,19.3,-0.7100661487402037,1.2126890913758055,2.2275469625625797,-0.20315072721662775,0.12171667135831446,4.039744898338713,0.7002703953820927,1.4249031889503818,2.2755968517768546,-1.4249031889503818,8.239444805887148,5
"Grayson Allen PhxSG, PG",34.8,5.7/13.4,0.421,1.7/2.0,0.833,3.6,3.6,4.9,1.4,0.3,2.0,16.6,-0.32332354186631923,0.5058237861008418,2.955912368576021,-0.05008338421365254,1.8585357057574277,1.3444616994785954,-0.2469833344708628,1.0314657754005587,1.6860688470282124,-1.0314657754005587,6.698946370989706,6
Cason Wallace OKCSG,30.3,3.1/7.5,0.417,0.9/1.0,0.875,1.8,4.0,3.3,2.8,0.4,1.3,8.9,-0.35555209243914293,0.6835982940143058,0.7708161505356972,0.15400640645698085,0.7897239922810502,4.2470743751741065,-0.010169902007623828,0.11344514378430477,0.004822314967269224,-0.11344514378430477,6.1708743951983385,7
Donovan Clingan PorC,24.6,3.1/6.6,0.472,1.4/1.5,0.917,0.6,9.0,1.6,0.9,1.4,0.6,8.3,0.0875904779371831,0.8613728019277699,-0.6859146614911854,2.7051287898398986,-0.3458884532876004,0.30781431530162745,2.3579644226247645,-0.8045754878319494,-0.12618390831020676,0.8045754878319494,5.966459272374201,8
Dennis Schroder SacPG,32.8,6.0/13.6,0.44,1.6/1.8,0.929,1.6,3.9,6.9,1.4,0.4,2.6,15.3,-0.1702379266454064,0.9121655184744739,0.5280276818645502,0.10298395878932244,3.1945503476028994,1.3444616994785954,-0.010169902007623828,1.8183406025002053,1.402222029927014,-1.8183406025002053,5.485662804983619,9
"Jaren Jackson Jr. MemC, PF",28.7,6.1/11.7,0.524,3.3/4.1,0.811,1.4,5.4,1.3,0.7,1.7,1.9,17.0,0.5065616353838918,0.4127038057652182,0.28523921319340284,0.8683206738041981,-0.5462906495644211,-0.10684463836915999,3.0684047200144815,0.900319970883951,1.773406329213196,-0.900319970883951,5.361181118556856,10
Sam Merrill CleSG,25.8,5.0/9.2,0.543,2.2/2.2,1.0,4.4,1.6,1.6,0.6,0.2,1.2,16.6,0.6596472506048046,1.2126890913758055,3.92706624326061,-1.0705323375668196,-0.3458884532876004,-0.3141741152045536,-0.4837967669341016,-0.017700660732303072,1.6860688470282124,0.017700660732303072,5.288780420008659,11
Brandon Ingram TorSF,32.5,8.3/15.1,0.545,3.3/3.8,0.867,1.4,6.1,3.9,0.9,0.6,3.0,21.1,0.6757615258912164,0.6497364829831699,0.28523921319340284,1.2254778074778063,1.1905283848346917,0.30781431530162745,0.46345696291885385,2.342923820566636,2.668615521609283,-2.342923820566636,5.123706393643415,12
"Franz Wagner OrlSF, PF",34.1,7.8/15.6,0.496,4.9/6.1,0.796,1.6,5.5,3.3,1.1,0.3,2.1,22.0,0.2809617813741256,0.3492129100818382,0.5280276818645502,0.9193431214718563,0.7897239922810502,0.7224732689724148,-0.2469833344708628,1.1626115799171666,2.865124856525497,-1.1626115799171666,5.045272698183303,13
Neemias Queta BosC,22.8,3.9/5.4,0.714,1.3/2.1,0.632,0.0,8.1,1.7,0.9,1.3,1.1,9.1,2.037417787593018,-0.3449542160564496,-1.4142800675046265,2.245926760830973,-0.2790877211953269,0.30781431530162745,2.121150990161526,-0.14884646524891063,0.048491056059761097,0.14884646524891063,4.871325370439412,14
"Cedric Coward MemSF, SG",26.2,4.9/9.1,0.537,3.0/3.3,0.9,1.6,5.4,2.7,1.1,0.3,1.2,14.3,0.611304424745569,0.7894164534866059,0.5280276818645502,0.8683206738041981,0.38891959972740897,0.7224732689724148,-0.2469833344708628,-0.017700660732303072,1.1838783244645539,0.017700660732303072,4.863057753326742,15
