Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
Jock Landale MemC,24.8,5.3/8.0,0.656,0.8/1.0,0.75,2.3,4.8,1.3,1.8,0.3,1.5,13.5,1.2265073414765666,0.32946940674658204,1.0530849737477164,0.47506674281034017,-0.47841951187468607,1.884344809204787,-0.148455833454703,0.457012559166702,0.8389535317348888,-0.457012559166702,4.72353890122479,18
Brandon Ingram TorSF,33.0,7.7/14.0,0.548,4.0/4.7,0.857,0.3,7.7,4.3,0.7,1.0,2.7,19.7,0.5355371917276714,0.6237879850638909,-0.9142829428239486,1.7502742915124854,1.1725836024987897,-0.01696652613802837,1.350553953906502,1.9176605423857702,1.9934285306064552,-1.9176605423857702,4.577255543968047,19
Wendell Carter Jr. OrlC,29.0,5.5/9.0,0.611,1.0/1.0,1.0,1.5,8.5,0.5,0.0,1.0,1.0,13.5,0.9386031124145267,1.0171296364599207,0.2661378071190504,2.102055684257905,-0.9186870090409464,-1.2268919213561835,1.350553953906502,-0.15159076717457629,0.8389535317348888,0.15159076717457629,4.5194455626702394,20
"Moussa Diabate ChaPF, C",19.7,4.0/5.7,0.706,3.3/4.3,0.769,0.0,8.7,1.0,0.7,0.7,0.3,11.3,1.546400929323277,0.3817315842047958,-1.2093881303096985,2.1900010324442594,-0.6435198233120337,-0.01696652613802837,0.7081211878945568,-1.003635424052366,0.42930111278046207,1.003635424052366,4.389316790939956,21
Andre Drummond PhiC,21.0,3.0/4.7,0.643,1.3/2.0,0.667,0.7,7.7,0.3,1.0,1.3,0.7,8.0,1.1433350086364218,0.10116621048175374,-0.5208093595096157,1.7502742915124854,-1.0287538833325114,0.5015729289554668,1.992986719918447,-0.5167527629793434,-0.18517751565117835,0.5167527629793434,4.271347163990613,22
"Bogdan Bogdanovic LACSG, SF",29.0,3.0/8.0,0.375,3.5/4.0,0.875,2.0,5.0,4.5,1.0,0.5,1.0,11.5,-0.5712946222219483,0.6732995216032513,0.7579797862619667,0.563012090996695,1.2826504767903548,0.5015729289554668,0.279832677219927,-0.15159076717457629,0.4665422417763189,0.15159076717457629,4.1051858685566085,23
Zaccharie Risacher AtlSF,24.3,5.3/11.3,0.471,1.3/1.3,1.0,2.0,2.3,2.3,1.7,0.3,1.0,14.0,0.04290106644373631,1.0171296364599207,0.7579797862619667,-0.6242501095190953,0.07191485958313909,1.711498324173622,-0.148455833454703,-0.15159076717457629,0.9320563542245313,0.15159076717457629,3.9123648513476943,24
"Kevin Huerter ChiSG, SF",24.0,4.0/9.3,0.429,1.0/1.0,1.0,1.3,4.7,2.0,1.3,1.7,2.3,10.3,-0.22580954734750067,1.0171296364599207,0.06940101546188393,0.4310940687171629,-0.0931854518542084,1.0201123840489619,2.849563741267707,1.4307778813127472,0.24309546780117713,-1.4307778813127472,3.8806234332423575,25
Aaron WigginsO OKCSG,26.3,7.0/13.3,0.525,0.0/0.3,0.0,4.0,1.7,1.7,1.0,0.3,0.0,18.0,0.38838614131818433,-1.7335112823934338,2.725347702833632,-0.8880861540781598,-0.258285763291556,0.5015729289554668,-0.148455833454703,-1.3687974198571329,1.676878934141671,1.3687974198571329,3.632644093888234,26
"Marcus Smart LALSG, PG",32.0,3.8/9.5,0.395,3.3/3.3,1.0,1.5,3.3,4.5,2.3,0.5,2.8,12.3,-0.44333718708326386,1.0171296364599207,0.2661378071190504,-0.1845233685873211,1.2826504767903548,2.748577234360612,0.279832677219927,2.039381207654025,0.6155067577597471,-2.039381207654025,3.542592826385002,27
"Isaiah Jackson IndPF, C",24.3,4.5/7.5,0.6,3.0/3.5,0.857,0.0,9.0,1.3,0.8,0.5,0.8,12.0,0.8682265230882502,0.6237879850638909,-1.2093881303096985,2.321919054723792,-0.47841951187468607,0.1558799588931368,0.279832677219927,-0.39503209771108755,0.5596450642659614,0.39503209771108755,3.516515718781662,28
"Franz Wagner OrlSF, PF",32.5,7.0/17.0,0.412,6.5/6.5,1.0,1.0,5.5,4.0,1.5,0.0,2.5,21.5,-0.33457336721538244,1.0171296364599207,-0.2257041720238659,0.7828754614625821,1.0074832910614422,1.3658053541112918,-0.7908885994666479,1.6742192118492587,2.328598691569168,-1.6742192118492587,3.476507084109249,29
Keaton Wallace AtlPG,14.0,2.5/3.5,0.714,0.5/1.0,0.5,2.0,3.0,4.5,0.5,0.5,0.5,7.5,1.597583903378751,-0.35819082296675653,0.7579797862619667,-0.3164413908668533,1.2826504767903548,-0.3626594962003583,0.279832677219927,-0.7601940935158545,-0.2782803381408208,0.7601940935158545,3.362668888992065,30
Jeremy SochanDTD SAPF,23.0,6.0/7.0,0.857,3.0/4.0,0.75,1.0,2.0,0.0,1.0,0.0,0.0,16.0,2.5124795646203437,0.32946940674658204,-0.2257041720238659,-0.7561681317986274,-1.1938541947698589,0.5015729289554668,-0.7908885994666479,-1.3687974198571329,1.3044676441831011,1.3687974198571329,3.050171866303627,31
Jamal Shead TorPG,18.0,2.3/4.0,0.583,1.7/1.7,1.0,1.3,3.0,5.7,0.7,0.0,0.7,7.7,0.7594627032203685,1.0171296364599207,0.06940101546188393,-0.3164413908668533,1.9430517225397452,-0.01696652613802837,-0.7908885994666479,-0.5167527629793434,-0.2410392091449638,0.5167527629793434,2.9404621150447685,32
